Comment,Cleaned_Comment
Don't know how you can gather and manage such a vast amount of information. You are simply great.,dont know how you can gather and manage such a vast amount of information you are simply great
Reply,reply
8 replies,replies
,nan
আপনি খুব সুন্দর বলেছেন আরজিকর হসপিটালের ভিতরের এত খবর জানতাম না এই খবর দেয়ার জন্য ধন্যবাদ নীতিশ রাজপুত জি,
Reply,reply
1 reply,reply
,nan
Well explained in a short duration. salute to your case study. everyone should know about this. Well done & keep it up.,well explained in a short duration salute to your case study everyone should know about this well done  keep it up
Reply,reply
"Difference between dhruv rather video and nitish Bhai 
Sab kush clear clear saaf saaf btaya .. hatt off bhaii","difference between dhruv rather video and nitish bhai 
sab kush clear clear saaf saaf btaya  hatt off bhaii"
Reply,reply
18 replies,replies
,nan
"Your doing great work , bohot se log jagrut or jankar hote hai or one of the best thing is ki jobhi video me baat hoti hai woh description box me mention hota hai   : Thanks!",your doing great work  bohot se log jagrut or jankar hote hai or one of the best thing is ki jobhi video me baat hoti hai woh description box me mention hota hai    thanks
Reply,reply
Kisi bhi news channel ya youtuber itni details mein nahi bataya jitna Nitish rajpoot ne bataya....hats off bro.,kisi bhi news channel ya youtuber itni details mein nahi bataya jitna nitish rajpoot ne batayahats off bro
Reply,reply
8 replies,replies
,nan
This episode deserves to be on international TV media. Respect from Pakistan and condolence to the victim's parents.,this episode deserves to be on international tv media respect from pakistan and condolence to the victims parents
Reply,reply
Most reliable youtuber. Speaks for public not for any political party.,most reliable youtuber speaks for public not for any political party
Reply,reply
8 replies,replies
,nan
"नीतीश भाई किसी पार्टी का गुलाम नहीं है...
बिना किसी पक्षपात के शानदार पत्रकारिता",
Reply,reply
11 replies,replies
,nan
"As a Bengali, I'm so so impressed by this video. 
We Bengalis know the real issues , the underlying causes that are all politically related to this case. But rest of India especially in social Media entirely misinterpreted this case as a mere societal issue of rap_ & men vs women issue which is not linked to this specific & contexual issue of Kolkata. 
Regarding this case we can say,
Protect your daughters 
Educate your sons 
Educate citizens to uprise against Maafia Goverment & never elect them","as a bengali im so so impressed by this video 
we bengalis know the real issues  the underlying causes that are all politically related to this case but rest of india especially in social media entirely misinterpreted this case as a mere societal issue of rap  men vs women issue which is not linked to this specific  contexual issue of kolkata 
regarding this case we can say
protect your daughters 
educate your sons 
educate citizens to uprise against maafia goverment  never elect them"
Reply,reply
"best case study ever...even more details than media.
""WE WANT JUSTICE"".","best case study evereven more details than media
we want justice"
Reply,reply
We really need journalist like you... Thank you,we really need journalist like you thank you
Reply,reply
